_id,question,answer,incorrect1,incorrect2,incorrect3
1,brother (nom-s),satthā,satthāro,satthārā,"satthārehi, satthūhi"
2,O brother,"satthā, sattha",satthāro,"satthu, satthuno, satthussa","satthārānaṃ, satthūnaṃ"
3,brother (acc-s),satthāraṃ,satthāro,"satthu, satthuno, satthussa","satthārānaṃ, satthūnaṃ"
4,by means of the brother,satthārā,"satthārehi, satthūhi",satthari,"satthāresu, satthūsu"
5,from the brother,satthārā,"satthārehi, satthūhi",satthā,satthāro
6,for the brother,"satthu, satthuno, satthussa","satthārānaṃ, satthūnaṃ","satthā, sattha",satthāro
7,of the brother,"satthu, satthuno, satthussa","satthārānaṃ, satthūnaṃ",satthāraṃ,satthāro
8,on the brother,satthari,"satthāresu, satthūsu",satthārā,"satthārehi, satthūhi"
9,brothers (nom-p),satthāro,satthā,"satthārehi, satthūhi",satthārā
10,O brothers,satthāro,"satthā, sattha","satthārānaṃ, satthūnaṃ","satthu, satthuno, satthussa"
11,brothers (acc-p),satthāro,satthāraṃ,"satthārānaṃ, satthūnaṃ","satthu, satthuno, satthussa"
12,by means of the brothers,"satthārehi, satthūhi",satthārā,"satthāresu, satthūsu",satthari
13,from the brothers,"satthārehi, satthūhi",satthārā,satthāro,satthā
14,for the brothers,"satthārānaṃ, satthūnaṃ","satthu, satthuno, satthussa",satthāro,"satthā, sattha"
15,of the brothers,"satthārānaṃ, satthūnaṃ","satthu, satthuno, satthussa",satthāro,satthāraṃ
16,on the brothers,"satthāresu, satthūsu",satthari,"satthārehi, satthūhi",satthārā
17,doer,kattu,jetu,bhattu,nattu
18,goer,gantu,vinetu,nattu,bhattu
19,hearer,sotu,viññātu,jetu,sottu
20,giver,dātu,bhattu,vinetu,jetu
21,leader,netu,nattu,viññātu,vinetu
22,sayer,vattu,kattu,dātu,vatu
23,victor,jetu,gantu,netu,dātu
24,disciplinarian,vinetu,sotu,vattu,netu
25,knower,viññātu,dātu,kattu,sotu
26,husband,bhattu,netu,gantu,kattu
27,grandson,nattu,vattu,sotu,gantu
28,father (nom-s),pitā,pitaro,pitarā,"pitarehi, pitūhi"
29,O father,"pitā, pita",pitaro,"pitu, pituno",pitarānaṃ
30,father (acc-s),pitaraṃ,pitaro,pitussa,pitūnaṃ
31,by means of the father,pitarā,"pitarehi, pitūhi",pitari,"pitaresu, pitūsu"
32,from the father,pitarā,"pitarehi, pitūhi",pitā,pitaro
33,for the father,"pitu, pituno",pitarānaṃ,"pitā, pita",pitaro
34,of the father,pitussa,pitūnaṃ,pitaraṃ,pitaro
35,on the father,pitari,"pitaresu, pitūsu",pitarā,"pitarehi, pitūhi"
36,fathers (nom-p),pitaro,pitā,"pitarehi, pitūhi",pitarā
37,O fathers,pitaro,"pitā, pita",pitarānaṃ,"pitu, pituno"
38,fathers (acc-p),pitaro,pitaraṃ,pitūnaṃ,pitussa
39,by means of the fathers,"pitarehi, pitūhi",pitarā,"pitaresu, pitūsu",pitari
40,from the fathers,"pitarehi, pitūhi",pitarā,pitaro,pitā
41,for the fathers,pitarānaṃ,"pitu, pituno",pitaro,"pitā, pita"
42,of the fathers,pitūnaṃ,pitussa,pitaro,pitaraṃ
