_id,question,answer,incorrect1,incorrect2,incorrect3
1,Buddha,the Buddha ,son ,"man, person ",king 
2,Tathāgata,the Buddha (Thus-gone) ,uncle ,"man, person ",friend 
3,Sugata,the Buddha (Well-gone) ,boy ,farmer ,friend 
4,manussa,"man, human being ",merchant ,brahmin ,friend 
5,nara,"man, person ",king ,the Buddha ,son 
6,purisa,"man, person ",friend ,the Buddha (Thus-gone) ,uncle 
7,kassaka,farmer ,friend ,the Buddha (Well-gone) ,boy 
8,brāhmaṇa,brahmin ,friend ,"man, human being ",merchant 
9,putta,son ,the Buddha ,king ,"man, person "
10,mātula,uncle ,the Buddha (Thus-gone) ,friend ,"man, person "
11,kumāra,boy ,the Buddha (Well-gone) ,friend ,farmer 
12,vāṇija,merchant ,"man, human being ",friend ,brahmin 
13,bhūpāla,king ,"man, person ",son ,the Buddha 
14,sahāya ,friend ,"man, person ",uncle ,the Buddha (Thus-gone) 
15,sahāyaka,friend ,farmer ,boy ,the Buddha (Well-gone) 
16,mitta,friend ,brahmin ,merchant ,"man, human being "
17,dhamma,"the doctrine, truth",monastery,sun,beggar
18,bhatta,rice,bowl,moon,jackal
19,odana,cooked rice,pit,dog,tree
20,gāma,village,mountain,"the doctrine, truth",monastery
21,suriya,sun,beggar,rice,bowl
22,canda,moon,jackal,cooked rice,pit
23,kukkura / sunakha / soṇa,dog,tree,village,mountain
24,vihāra,monastery,"the doctrine, truth",beggar,sun
25,patta,bowl,rice,jackal,moon
26,āvāṭa,pit,cooked rice,tree,dog
27,pabbata,mountain,village,monastery,"the doctrine, truth"
28,yācaka,beggar,sun,bowl,rice
29,sigāla,jackal,moon,pit,cooked rice
30,rukkha,tree,dog,mountain,village
31,ratha,"vehicle, chariot ",horse ,path ,saw 
32,sakaṭa,cart ,deer ,"island, lamp ",sword 
33,hattha,hand ,arrow ,disciple ,thief 
34,pāda,foot ,"rock, stone ","recluse, monk ",wise man 
35,magga,path ,saw ,"vehicle, chariot ",horse 
36,dīpa,"island, lamp ",sword ,cart ,deer 
37,sāvaka,disciple ,thief ,hand ,arrow 
38,samaṇa,"recluse, monk ",wise man ,foot ,"rock, stone "
39,sagga,heaven ,"vehicle, chariot ",saw ,"island, lamp "
40,assa,horse ,cart ,sword ,disciple 
41,miga,deer ,hand ,thief ,"recluse, monk "
42,sara,arrow ,foot ,wise man ,heaven 
43,pāsāṇa,"rock, stone ",path ,heaven ,"vehicle, chariot "
44,kakaca,saw ,"island, lamp ",horse ,cart 
45,khagga,sword ,disciple ,deer ,hand 
46,cora,thief ,"recluse, monk ",arrow ,foot 
47,paṇḍita,wise man ,heaven ,"rock, stone ",path 
48,dhīvara,fisherman ,washerman ,parrot ,pig 
49,maccha,fish ,serpent ,stairway ,pig 
50,piṭaka,basket ,question ,pig ,parrot 
51,amacca,minister ,parrot ,pig ,stairway 
52,upāsaka,lay devotee ,parrot ,washerman ,question 
53,pāsāda,palace ,stairway ,serpent ,parrot 
54,dāraka,child ,pig ,question ,washerman 
55,sāṭaka,garment ,pig ,parrot ,serpent 
56,rajaka,washerman ,fisherman ,lay devotee ,child 
57,sappa,serpent ,fish ,palace ,garment 
58,pañha,question ,basket ,child ,lay devotee 
59,suka,parrot ,minister ,garment ,palace 
60,suva,parrot ,lay devotee ,fisherman ,basket 
61,sopāna,stairway ,palace ,fish ,minister 
62,sūkara,pig ,child ,basket ,fisherman 
63,varāha,pig ,garment ,minister ,fish 
64,tāpasa,hermit ,goat ,profit ,hoe 
65,ācariya,teacher ,monkey ,bed ,profit 
66,vejja,doctor ,profit ,hoe ,bed 
67,sīha,lion ,bed ,goat ,monkey 
68,luddaka,hunter ,hoe ,monkey ,goat 
69,aja,goat ,hermit ,doctor ,hunter 
70,vānara,monkey ,teacher ,lion ,doctor 
71,makkaṭa,monkey ,teacher ,lion ,doctor 
72,lābha,profit ,doctor ,hunter ,lion 
73,mañca,bed ,lion ,hermit ,teacher 
74,kuddāla,hoe ,hunter ,teacher ,hermit 
75,nāvika,sailor ,crow ,wicked man ,messenger 
76,ākāsa,sky ,house ,body ,"ox, bull "
77,samudda,"ocean, sea ",virtuous man ,messenger ,wicked man 
78,deva ,"deity, god ",wicked man ,"ox, bull ",body 
79,sura,"deity, god ",body ,crow ,house 
80,loka,world ,messenger ,house ,"ox, bull "
81,āloka,light ,"ox, bull ",virtuous man ,crow 
82,sakuṇa,bird ,sailor ,"deity, god ",light 
83,kāka,crow ,sky ,world ,bird 
84,nivāsa,house ,"ocean, sea ",light ,"deity, god "
85,sappurisa,virtuous man ,"deity, god ",bird ,world 
86,asappurisa,wicked man ,"deity, god ",sailor ,"ocean, sea "
87,kāya,body ,world ,sky ,"deity, god "
88,dūta,messenger ,light ,"ocean, sea ",sailor 
89,goṇa,"ox, bull ",bird ,"deity, god ",sky 
90,nayana,eye ,grass ,"virtue, precept ",flower 
91,locana,eye ,milk ,"alms, charity ",flower 
92,udaka,water ,"city, town ",object ,house 
93,jala,water ,park ,door ,house 
94,arañña,forest ,field ,cloth ,seat 
95,vana,forest ,goods ,fruit ,leaf 
96,puppha,flower ,"virtue, precept ",grass ,eye 
97,kusuma,flower ,"alms, charity ",milk ,eye 
98,geha,house ,object ,"city, town ",water 
99,ghara,house ,door ,park ,water 
100,āsana,seat ,cloth ,field ,forest 
101,paṇṇa,leaf ,fruit ,goods ,forest 
102,tiṇa,grass ,eye ,flower ,"virtue, precept "
103,khīra,milk ,eye ,flower ,"alms, charity "
104,nagara,"city, town ",water ,house ,object 
105,uyyāna,park ,water ,house ,door 
106,khetta,field ,forest ,seat ,cloth 
107,bhaṇḍa,goods ,forest ,leaf ,fruit 
108,sīla,"virtue, precept ",flower ,eye ,grass 
109,dāna,"alms, charity ",flower ,eye ,milk 
110,rūpa,object ,house ,water ,"city, town "
111,dvāra,door ,house ,water ,park 
112,vattha,cloth ,seat ,forest ,field 
113,āpaṇa,"shop, bazaar ","root, money ",gold ,truth 
114,puñña,merit ,foot of a tree ,gold ,drinking water 
115,pāpa,"evil, sin ",beak ,truth ,mind 
116,kamma,"deed, action ","wage, pay ",drinking water ,gold 
117,kusala,good ,lotus ,mind ,gold 
118,akusala,evil ,song ,"root, money ","wage, pay "
