_id,question,answer,incorrect1,incorrect2,incorrect3
1,he who (rel nom-p-masc),yo,ko,"yamhā, yasmā","kasmā, kismā"
2,he who (rel acc-p-masc) ,yaṃ,kaṃ,yassa,"kassa, kissa"
3,by he who (rel ins-p-masc),yena,kena,yassa,"kassa, kissa"
4,from he who (rel abl-p-masc),"yamhā, yasmā","kasmā, kismā","yamhi, yasmiṃ","kamhi, kasmiṃ kimhi, kismiṃ"
5,for he who (rel dat-p-masc),yassa,"kassa, kissa",yo,ko
6,of he who (rel gen-p-masc),yassa,"kassa, kissa",yaṃ,kaṃ
7,on he who (rel loc-p-masc),"yamhi, yasmiṃ","kamhi, kasmiṃ kimhi, kismiṃ",yena,kena
8,"he, that (dem nom-p-masc)",so,ko,"tamhā, tasmā","kasmā, kismā"
9,"he, that (dem acc-p-masc) ",taṃ,kaṃ,tassa,"kassa, kissa"
10,"by he, that (dem ins-p-masc)",tena,kena,tassa,"kassa, kissa"
11,"from he, that (dem abl-p-masc)","tamhā, tasmā","kasmā, kismā","tamhi, tasmiṃ","kamhi, kasmiṃ kimhi, kismiṃ"
12,"for he, that (dem dat-p-masc)",tassa,"kassa, kissa",so,ko
13,"of he, that (dem gen-p-masc)",tassa,"kassa, kissa",taṃ,kaṃ
14,"on he, that (dem loc-p-masc)","tamhi, tasmiṃ","kamhi, kasmiṃ kimhi, kismiṃ",tena,kena
15,who (int nom-s-masc),ko,so,"kasmā, kismā","tamhā, tasmā"
16,whom (int acc-s-masc) ,kaṃ,taṃ,"kassa, kissa",tassa
17,by whom (int ins-s-masc),kena,tena,"kassa, kissa",tassa
18,from whom (int abl-s-masc),"kasmā, kismā","tamhā, tasmā","kamhi, kasmiṃ kimhi, kismiṃ","tamhi, tasmiṃ"
19,for whom (int dat-s-masc),"kassa, kissa",tassa,ko,so
20,of whom (int gen-s-masc),"kassa, kissa",tassa,kaṃ,taṃ
21,on whom (int loc-s-masc),"kamhi, kasmiṃ kimhi, kismiṃ","tamhi, tasmiṃ",kena,tena
22,that which (rel nom-p-neut),yaṃ,kim,"yamhā, yasmā","kasmā, kismā"
23,that which (rel acc-p-neut) ,yaṃ,kim,yassa,"kassa, kissa"
24,by that which (rel ins-p-neut),yena,kena,yassa,"kassa, kissa"
25,from that which (rel abl-p-neut),"yamhā, yasmā","kasmā, kismā","yamhi, yasmiṃ","kamhi, kasmiṃ kimhi, kismiṃ"
26,for that which (rel dat-p-neut),yassa,"kassa, kissa",yaṃ,kim
27,of that which (rel gen-p-neut),yassa,"kassa, kissa",yaṃ,kim
28,on that which (rel loc-p-neut),"yamhi, yasmiṃ","kamhi, kasmiṃ kimhi, kismiṃ",yena,kena
29,"it, that (dem nom-p-neut)",taṃ,yaṃ,"tamhā, tasmā","yamhā, yasmā"
30,"it, that (dem acc-p-neut) ",taṃ,yaṃ,tassa,yassa
31,"by it, that (dem ins-p-neut)",tena,yena,tassa,yassa
32,"from it, that (dem abl-p-neut)","tamhā, tasmā","yamhā, yasmā","tamhi, tasmiṃ","yamhi, yasmiṃ"
33,"for it, that (dem dat-p-neut)",tassa,yassa,taṃ,yaṃ
34,"of it, that (dem gen-p-neut)",tassa,yassa,taṃ,yaṃ
35,"on it, that (dem loc-p-neut)","tamhi, tasmiṃ","yamhi, yasmiṃ",tena,yena
36,which (int nom-p-neut),kim,taṃ,"kasmā, kismā","tamhā, tasmā"
37,which (int acc-p-neut) ,kim,taṃ,"kassa, kissa",tassa
38,by which (int ins-p-neut),kena,tena,"kassa, kissa",tassa
39,from which (int abl-p-neut),"kasmā, kismā","tamhā, tasmā","kamhi, kasmiṃ kimhi, kismiṃ","tamhi, tasmiṃ"
40,for which (int dat-p-neut),"kassa, kissa",tassa,kim,taṃ
41,of which (int gen-p-neut),"kassa, kissa",tassa,kim,taṃ
42,on which (int loc-p-neut),"kamhi, kasmiṃ kimhi, kismiṃ","tamhi, tasmiṃ",kena,tena
43,she who (rel nom-p-fem),yā,kā,yāya,kāya
44,she who (rel acc-p-fem) ,yaṃ,kaṃ,"yassā, yāya","kassā, kāya"
45,by she who (rel ins-p-fem),yāya,kāya,"yassā, yāya","kassā, kāya"
46,from she who (rel abl-p-fem),yāya,kāya,"yassaṃ, yāyaṃ","kassaṃ, kāyaṃ"
47,for she who (rel dat-p-fem),"yassā, yāya","kassā, kāya",yā,kā
48,of she who (rel gen-p-fem),"yassā, yāya","kassā, kāya",yaṃ,kaṃ
49,on she who (rel loc-p-fem),"yassaṃ, yāyaṃ","kassaṃ, kāyaṃ",yāya,kāya
50,"she, that (dem nom-p-fem)",sā,yā,tāya,yāya
51,"she, that (dem acc-p-fem) ",taṃ,yaṃ,"tassā, tāya","yassā, yāya"
52,"by she, that (dem ins-p-fem)",tāya,yāya,"tassā, tāya","yassā, yāya"
53,"from she, that (dem abl-p-fem)",tāya,yāya,"tassaṃ, tāyaṃ","yassaṃ, yāyaṃ"
54,"for she, that (dem dat-p-fem)","tassā, tāya","yassā, yāya",sā,yā
55,"of she, that (dem gen-p-fem)","tassā, tāya","yassā, yāya",taṃ,yaṃ
56,"on she, that (dem loc-p-fem)","tassaṃ, tāyaṃ","yassaṃ, yāyaṃ",tāya,yāya
57,who (int nom-s-fem),kā,sā,kāya,tāya
58,whom (int acc-s-fem) ,kaṃ,taṃ,"kassā, kāya","tassā, tāya"
59,by whom (int ins-s-fem),kāya,tāya,"kassā, kāya","tassā, tāya"
60,from whom (int abl-s-fem),kāya,tāya,"kassaṃ, kāyaṃ","tassaṃ, tāyaṃ"
61,for whom (int dat-s-fem),"kassā, kāya","tassā, tāya",kā,sā
