_id,question,answer,incorrect1,incorrect2,incorrect3
1,rodati,he cries,she takes,it bathes,"he gives up, abandons"
2,hasati,she laughs,it plays,it drags,it bathes
3,labhati,"he gets, receives",it bathes,"he gives up, abandons",she takes
4,pavisati,she enters,it drags,she takes,it plays
5,dadāti,he gives,"he gives up, abandons",it plays,it drags
6,ādadāti,she takes,he cries,"he gets, receives",she enters
7,kīḷati,it plays,she laughs,she enters,"he gets, receives"
8,nahāyati,it bathes,"he gets, receives",he gives,she laughs
9,ākaḍḍhati,it drags,she enters,he cries,he gives
10,pajahati,"he gives up, abandons",he gives,she laughs,he cries
11,Vāṇijā amaccānaṃ aje āharanti.,Merchants bring goats for ministers.,Merchants bring horses for ministers.,Merchants bring horses for the minister.,Merchants bring goats for the minister.
12,Manusso vāṇijāya ajaṃ hanati.,The man kills a goat for the merchant.,The hunter kills a goat for the merchant.,The hunter kills a goat for the merchants.,The man kills goats for the merchant.
13,Luddako kakacena kassakassa rukkhe chindati.,The hunter cuts trees with a saw for the farmer.,The man cuts trees with a saw for the farmer.,The man cuts trees with a saw for the farmers.,The hunter cuts trees with a saw for the farmers.
14,Assā sīhasmā dhāvanti.,Horses run away from the lion.,Deer run away from the lion.,Deer run away from the lions.,Horses run away from the lions.
15,Bhūpālo rajakehi saha Buddhaṃ vandati.,The king worships the Buddha along with washermen.,The king worships the Buddha along with lay devotees.,The king worships the Buddha along with the lay devotee.,The king worships the Buddha along with the washerman.
16,Sigālo gāmehi pabbate dhāvati.,The jackal runs from villages to the mountains.,Thieves run from villages to the mountains.,Thieves run from villages to the mountain.,The jackal runs from villages to the mountain.
17,Upāsako bhūpālāya sāṭake dhovati.,The lay devotee washes garments for the king.,The washerman washes garments for the king.,The washerman washes garments for the kings.,The lay devotee washes garments for the kings.
18,Ācariyo piṭakehi kassakānaṃ macche āharati.,The teacher brings fish in baskets for farmers.,The fisherman brings fish in baskets for farmers.,The fisherman brings fish in baskets for farmer.,The teacher brings fish in baskets for the farmer.
19,"Dhīvaro vihāraṃ pavisati, samaṇe passati.","The fisherman enters the monastery, sees the monks.","The teacher enters the monastery, sees the monks.","The teacher enters the monastery, sees the monk.","The fisherman enters the monastery, sees the monk."
20,Sappo sukaṃ ḍasati.,The serpent bites the parrot.,The serpent bites the monkey.,The serpent bites the monkeys.,The serpent bites the parrots.
21,Corā brāhmaṇassa mañcaṃ ākaḍḍhanti.,Thieves drag the bed for the brahmin.,Boys drag the bed for the brahmin.,Boys drag the bed for the brahmins.,Thieves drag the bed for the brahmins.
22,Kumārā purisehi saha pāsādaṃ pavisanti.,Boys enter the palace together with men.,Thieves enter the palace together with men.,Thieves enter the palace together with the man.,Boys enter the palace together with the man.
23,Dārakā dhīvarehi macche labhanti.,Children get fish from fishermen.,Farmers get fish from fishermen.,Farmers get fish from the fisherman.,Children get fish from the fisherman.
24,Vānarā dīpamhā pabbataṃ gacchanti.,Monkeys go from the island to the mountain.,Pigs go from the island to the mountain.,Pigs go from the island to the mountaina.,Monkeys go from the island to the mountains.
25,"Sīho pāsādaṃ pajahati, putto vihāraṃ pavisati.","The lion abandons the palace, the son enters the monastery.","The king abandons the palace, the son enters the monastery.","The king abandons the palace, the sons enters the monastery.","The lion abandons the palace, the sons enter the monastery."
26,"Bhūpālo sayati, vānarā kīḷanti.","The king sleeps, the monkeys play.","The lion sleeps, the monkeys play.","The lion sleeps, the monkey plays.","The king sleeps, the monkey plays."
