_id,question,answer,incorrect1,incorrect2,incorrect3
1,got... to admonish,anusāsāpesi ,gāhāpetvā ,vijjāpeti ,pātesi 
2,having got... assembled,sannipātāpetvā ,ākaḍḍhāpetvā ,desāpessanti ,kārāpesi 
3,got... to pick,ocināpesi ,vandāpesi ,pātesi ,vijjāpeti 
4,got... to descend,otarāpesi ,bhojāpesuṃ ,kārāpesi ,desāpessanti 
5,got... to be sprinkled,āsiñcāpesuṃ ,vijjāpeti ,gāhāpetvā ,vandāpesi 
6,got... to be killed,mārāpesi ,desāpessanti ,ākaḍḍhāpetvā ,bhojāpesuṃ 
7,got... to teach,uggaṇhāpesi ,pātesi ,vandāpesi ,gāhāpetvā 
8,got... to sleep,sayāpesi ,kārāpesi ,bhojāpesuṃ ,ākaḍḍhāpetvā 
9,having got... to carry,gāhāpetvā ,anusāsāpesi ,āsiñcāpesuṃ ,uggaṇhāpesi 
10,having got... to drag,ākaḍḍhāpetvā ,sannipātāpetvā ,mārāpesi ,sayāpesi 
11,got... to honor,vandāpesi ,ocināpesi ,uggaṇhāpesi ,āsiñcāpesuṃ 
12,got... to eat,bhojāpesuṃ ,otarāpesi ,sayāpesi ,mārāpesi 
13,gets... to shoot,vijjāpeti ,āsiñcāpesuṃ ,anusāsāpesi ,ocināpesi 
14,get... to preach,desāpessanti ,mārāpesi ,sannipātāpetvā ,otarāpesi 
15,caused... to fall,pātesi ,uggaṇhāpesi ,ocināpesi ,anusāsāpesi 
16,got... to build,kārāpesi ,sayāpesi ,otarāpesi ,sannipātāpetvā 
17,Mother gets the sister to cook rice.,Ammā bhaginiṃ bhattaṃ pacāpeti. ,Ammā bhaginesi bhattesi pacāpeti. ,Ammā bhaginiṃ bhattaṃ pacāpetva. ,Ammā baginiṃ bhattaṃ pacāpeti. 
18,The king fed the recluses and beggars.,Bhūpālo samaṇe ca yācake ca bhojāpesi. ,Bhūpālo samaṇo ca yācako ca bhojāpesi. ,Bhūpālo samaṇe ca yācake ca bhojāpevi. ,Bhūpālo samaṇe ca yācake ca bojāpesi. 
19,The thief ran having got a friend to steal a saw.,Coro mittena kakacaṃ corāpetvā vanaṃ dhāvi.,Coro mittesi kakacaṃ corāpetvā vanaṃ dhāvi.,Coro mittena kakacaṃ corāpetvā vanaṃ dhāsi.,Coro mittena kakacaṃ corāpetvā vanaṃ dāvi.
20,The doctor got his son to buy milk from the market.,Vejjo puttena āpaṇamhā khīraṃ kiṇāpesi. ,Vejjo putteno āpaṇamhā khīraṃ kiṇāpesi. ,Vejjo puttena āpaṇamhā khīraṃ kiṇāpesu. ,Vejjo puttena āpaṇamhā kīraṃ kiṇāpesi. 
21,Lay devotees got the minister to build a monastery for the monks.,Upāsakā amaccena samaṇānaṃ vihāraṃ kārāpesuṃ. ,Upāsakā amaccesi samaṇānaṃ vihāraṃ kārāpesuṃ. ,Upāsakā amaccena samaṇānaṃ vihāraṃ kārāpesu. ,Upāsakā amacena samaṇānaṃ vihāraṃ kārāpesuṃ. 
22,The maiden got the sister to give money to the teacher and learnt an art.,Yuvati bhaginiyā ācariyassa mūlaṃ dāpetvā sippaṃ uggaṇhi. ,Yuvati bhaginiyo ācariyassa mūlaṃ dāpetvā sippaṃ uggaṇhi. ,Yuvati bhaginiyā ācariyassa mūlaṃ dāpetvā sippaṃ uggaṇti. ,Yuvati baginiyā ācariyassa mūlaṃ dāpetvā sippaṃ uggaṇhi. 
23,The brahmin tried to make the thief speak the truth.,Brāhmaṇo coraṃ / corena saccaṃ bhāsāpetuṃ vāyami. ,Brāhmaṇo coraṃ / corena saccaṃ bhāsāpetesi vāyami. ,Brāhmaṇo coraṃ / corena saccaṃ bhāsāpetuṃ vāyamsi. ,Brāhmaṇo coraṃ / corena saccaṃ bāsāpetuṃ vāyami. 
24,ammā samaṇehi... anusāsāpesi,the mother got the monks to admonish...,the mother got the monk to admonish...,the mother got the monks to teach...,the mothers got the monk to teach...
25,tumhe... core āmantāpetvā,you get the robbers... summoned,you get the robbers... summoned,we get the robbers... to go,you get the robbers... to go
