_id,question,answer,incorrect1,incorrect2,incorrect3
1,pariyesati,"he searches, seeks",she fears,she throws,he hopes
2,ārabhati,she begins,"it departs, dies",it sows,she sews
3,ussahati,it tries,he is born,he hopes,she throws
4,upasaṅkamati,he approaches,she throws,she sews,it sows
5,adhigacchati,"she understands, attains",it sows,she fears,he is born
6,gāyati,it sings,he hopes,"it departs, dies",she fears
7,āmasati,"he touches, strokes",she sews,he is born,"it departs, dies"
8,bhāyati,she fears,"he searches, seeks","she understands, attains",it sings
9,cavati,"it departs, dies",she begins,it sings,"he touches, strokes"
10,uppajjati,he is born,it tries,"he touches, strokes","she understands, attains"
11,khipati,she throws,he approaches,"he searches, seeks",it tries
12,vapati,it sows,"she understands, attains",she begins,he approaches
13,ākaṅkhati,he hopes,it sings,it tries,"he searches, seeks"
14,sibbati,she sews,"he touches, strokes",he approaches,she begins
15,rakkhanti,they observe,they approach,they sing,they depart
16,rodanto dārako ,crying child,crying merchant,wishing merchant,wishing merchants
17,icchanto vāṇijo,wishing merchant,wishing child,washing child,washing children
18,upāsako vihāraṃ gacchamāno,lay devotee going to the monastery,lay devotee going to the village,lay devotee going to the palace,lay devotee going to the palaces
19,sakuṇo phalaṃ haranto,bird carrying fruit,bird carrying rice,oxen carrying rice,horse carrying rice
20,cīvaraṃ pariyesantassa samaṇassa,monk seeking a robe,man seeking a robe,man seeking gold,warriors seeking gold
21,āhiṇḍanto luddako,wandering hunter,wandering merchant,wandering hunters,wandering sailors
22,uyyāne āhiṇḍamānamhā kumāramhā,boy who is wandering in the park,boy who is wandering in the village,boy who is going to the village,boys going to the village
23,rathena gacchamānehi amaccehi,ministers who are going in a chariot,ministers who are coming in a chariot,kings who are coming in a chariot,kings who are coming in chariots
24,sīlāni rakkhamānā manussā,people who practice virtues,monks who practice virtues,the monk who practices virtue,the monks who practice virtue
25,dhaññaṃ āka'nkhantassa purisassa,man who is wishing for grain,man who is wishing for fruit,man who is wishing for gold,men wishing for gold
26,rukkhe chindantā asappurisā,wicked men cutting trees,lay devotees cutting trees,hunters cutting trees,the hunters cutting a tree
27,dhammaṃ bhāsamāne sāvake,disciples discussing the dhamma,ministers discussing the dhamma,children discussing the dhamma,a child discussing the dhamma
28,gītāni gāyantā kumārā,boys singing songs,sailors singing songs,farmers singing songs,farmers singing a song
29,suvaṇṇaṃ labhituṃ ussahantā manussā,men trying to get gold,men trying to get oxen,men trying to get pigs,a men trying to get pigs
30,udakaṃ pātuṃ icchanto sīho,lion wishing to drink water,dog wishing to drink water,horses wishing to drink water,the horse wishing to drink water
31,āka'nkhāmāno naro,man hoping,kings hoping,lay devotees hoping,a lay devotee hoping
32,samaṇehi saha bhāsantā upāsakā,lay devotees speaking with monks,lay devotees speaking with merchants,lay devotees speaking with ministers,lay devotees speaking with a minister
33,magge sayantaṃ sunakhaṃ,dog sleeping on the road,jackal sleeping on the road,jackals sleeping on the road,a jackal sleeping on the road
34,sīlaṃ rakkhantā sappurisā,good men who practice virtue,wicked men who practice virtue,warriors who practice virtue,warrior practicing virtue
35,saṃharituṃ ussahanto vāṇijo,merchant trying to collect,minister trying to collect,minister going to collect,ministers going to collect
36, āhiṇḍanto kassako ,wandering farmer,wandering hunter,wandering hunters,wandering king
37,Vatthāni dhovanto brāhmaṇo magge gacchamānena kumārena saha bhāsati.,The brahmin washing clothes speaks with the boy going on the road.,The man washing clothes speaks with the boy going on the road.,The brahmin washing clothes speaks with the merchant going on the road.,The man washing clothes speaks with the king going on the road.
38,Udakaṃ pātuṃ vanasmā nikkhamantaṃ migaṃ puriso passati.,The man sees the deer coming out of the forest to drink water.,The brahmin sees the deer coming out of the forest to drink water.,The man sees the horse coming out of the forest to drink water.,The brahmin sees the jackal coming out of the forest to drink water.
39,Migā uyyānamhi rukkhehi patamānāni paṇṇāni khādanti.,Deer in the park eat leaves falling from the trees.,Goats in the park eat leaves falling from the trees.,Deer in the village eat leaves falling from the trees.,Birds in the park eat leaves falling from the trees.
40,Asappurisā aje hanante luddake passituṃ icchanti.,Wicked men wish to see hunters killing goats.,Wicked men wish to see hunters killing deer.,Wicked men wish to see farmers killing goats.,Wicked men wish to see hunters killing dogs.
41,Mātulo khettasmiṃ bījāni khādamāne sakuṇe passati.,The uncle sees birds eating seeds in his field.,The farmer sees birds eating seeds in his field.,The uncle sees pigs eating seeds in his field.,The king sees birds eating seeds in his field.
42,Nagaraṃ pavisantā kumarā vihāre viharamānaṃ Buddhaṃ vandituṃ icchanti.,Boys who enter the city wish to worship the Buddha dwelling in the monastery.,Recluses who enter the city wish to worship the Buddha dwelling in the monastery.,Boys who enter the city wish to worship the Buddha dwelling in the forest.,Recluses who enter the monastery wish to worship the Buddha dwelling in the city.
43,Sopānamhi tiṭṭhanto ācariyo rukkhe nisīdamāne vānare passati.,Standing on the stairway the teacher sees monkeys sitting on the tree.,Standing on the stairway the child sees monkeys sitting on the tree.,Standing on the stairway the teacher sees birds sitting on the tree.,Standing on the stairway the child sees monkey sitting on the tree.
44,Udake carantānaṃ macchānaṃ samaṇā bhattaṃ dadanti.,Recluses give rice to fish moving in the water.,Boys give rice to fish moving in the water.,Recluses give leaves to fish moving in the water.,Boys give rice to pigs moving in the water.
45,Samuddaṃ tarituṃ āka'nkhamāno vejjo bhūpālamhā mūlaṃ yācati.,The doctor wishing to cross the sea asks for money from the king.,The sailor wishing to cross the sea asks for money from the king.,The doctor wishing to cross the sea asks for money from the minister.,The sailor wishing to cross the sea asks for money from the doctor.
46,Upāsakā samuddasmiṃ patantaṃ candassa ālokaṃ locanehi passanti.,Lay devotees see with their eyes the light of the moon falling on the sea.,Men see with their eyes the light of the moon falling on the sea.,Lay devotees see with their eyes the light of the sun falling on the sea.,Wicked men see with their eyes the light of the moon falling on the sea.
47,Manussā vihāramhi vasamānānaṃ samaṇānaṃ cīvare dātuṃ ussahanti.,Men try to give robes to monks living in the monastery.,Lay devotees try to give robes to monks living in the monastery.,Men try to give robes to monks living in the palace.,Lay devotees try to give robes to hermits living in the monastery.
48,Puññaṃ icchantā tāpasā samaṇānaṃ dānaṃ datvā sīlāni rakkhanti.,"Wishing for merit, hermits give alms to the monks and observe the precepts.","Wishing for merit, virtuous men give alms to the monks and observe the precepts.","Wishing for merit, hermits give gold to the monks and observe the precepts.","Wishing for merit, virtuous men give rice to the monks and observe the precepts."
