_id,question,answer,incorrect1,incorrect2,incorrect3
1,aṅguli,finger,woman,banana,queen
2,aṭavi,forest,woman,brahmin woman,queen
3,ratti,night,young woman,cow,girl
4,doṇi,boat,sister,queen,banana
5,yuvati,maiden,tank,queen,brahmin woman
6,yaṭṭhi,walking stick,pond,girl,cow
7,asani,thunderbolt,banana,woman,sister
8,nāḷi,unit of measure,brahmin woman,woman,tank
9,rasmi,ray,cow,young woman,pond
10,iddhi,psychic power,queen,sister,woman
11,sammajjani,broom,queen,tank,woman
12,nadī,river,girl,pond,young woman
13,nārī,woman,finger,thunderbolt,psychic power
14,itthī,woman,forest,unit of measure,broom
15,taruṇī,young woman,night,ray,river
16,bhaginī,sister,boat,psychic power,thunderbolt
17,vāpī,tank,maiden,broom,unit of measure
18,pokkharaṇī,pond,walking stick,river,ray
19,kadalī,banana,thunderbolt,finger,boat
20,brāhmaṇī,brahmin woman,unit of measure,forest,maiden
21,gāvī,cow,ray,night,walking stick
22,rājinī,queen,psychic power,boat,finger
23,devī,queen,broom,maiden,forest
24,kumārī,girl,river,walking stick,night
25,vyākaroti,explains,takes out,conceals,wraps
26,pattheti,aspires,sends,wraps,harasses
27,vissajjeti,spends,conceals,harasses,sends
28,āroceti,informs,wraps,takes out,sends
29,muñcati,releases,harasses,sends,takes out
30,nīhareti,takes out,explains,informs,releases
31,peseti,sends,aspires,releases,informs
32,paṭiccādeti,conceals,spends,explains,wraps
33,veṭheti,wraps,informs,aspires,explains
34,viheṭheti,harasses,releases,spends,aspires
35,bhūpālo rājiniyā saddhiṃ nāvāya nadiṃ taranto,"the king, crossing the river by boat with (his) queen...","the king, crossing the sea by boat with (his) queen...","the minister, crossing the sea by boat with (his) king...","the minister, crossing the sea by boat with (his) daughter..."
36,pāniyaṃ pivitvā dārikāya bhūmiyaṃ nikkhitto patto,the bowl placed on the ground by the girl after drinking water...,the bowl placed on the table by the girl after drinking water...,the bowl placed on the ground by the queen after drinking water...,the bowl placed on the ground by the queen after drinking milk...
37,kassakānaṃ gāviyo aṭaviyaṃ āhiṇḍitvā...,"having roamed in the forest, the farmers' cows...","having roamed in the forest, the farmers' horses...","having roamed by the pond, the farmers' cows...","having roamed by the pond, the farmers' dogs..."
38,rattiyā samuddasmiṃ patitā candassa rasmiyo oloketvā taruṇiyo,"the young women, having seen the moonlight falling on the sea at night...","the young women, having seen the moonlight falling on the river at night...","the young women, having seen the moonlight falling on the pond at night...","the brahmin woman, having seen the thunderbolts falling on the pond at night..."
39,iddhiyā ākāse gacchantaṃ tāpasaṃ disvā,having seen the ascetic going through the sky by psychic power...,having seen the brahmin woman going through the sky by psychic power...,having seen the brahmin women going through the sky by psychic power...,having seen the brahmins going through the sky by psychic power...
40,bhaginiyā saddhiṃ pokkharaṇiyā tīre (bank) ṭhatvā ,having stood on the bank of the pond with sister...,having stood on the bank of the pond with mother...,having stood on the bank of the sea with sister...,having stood on the bank of the pond with the queens...
