_id,question,answer,incorrect1,incorrect2,incorrect3
1,vivarati,she opens,she collects,it breaks,he advises
2,naccati,he dances,it sprinkles,she drinks,it breaks
3,nikkhipati,it puts,he scolds,it drinks,she drinks
4,uṭṭhahati,she gets up,it breaks,she collects,he scolds
5,phusati,it touches,she drinks,it sprinkles,she collects
6,anusāsati,he instructs,it drinks,he scolds,it sprinkles
7,ovadati,he advises,she opens,it touches,it drinks
8,saṃharati,she collects,he dances,he instructs,it touches
9,āsiñcati,it sprinkles,it puts,he advises,he instructs
10,akkosati,he scolds,she gets up,she opens,it puts
11,bhindati,it breaks,it touches,he dances,she gets up
12,pibati,she drinks,he instructs,it puts,she opens
13,pivati,it drinks,he advises,she gets up,he dances
14,samaṇa,O monk (voc-s),O monk (voc-p),O man (voc-s),O man (voc-p)
15,paṇḍita,O wise man (voc-s),O wise man (voc-p),O brahmin (voc-s),O brahmin (voc-p)
16,upāsaka,O lay devotee (voc-s),O lay devotee (voc-p),O son (voc-s),O son (voc-p)
17,tāpasa,O hermit (voc-s),O hermit (voc-p),O king (voc-s),O king (voc-p)
18,ācariya,O teacher (voc-s),O teacher (voc-p),O friend (voc-s),O friend (voc-p)
19,vejja,O doctor (voc-s),O doctor (voc-p),O disciple (voc-s),O disciple (voc-p)
20,deva,O god (voc-s),O god (voc-p),O monk (voc-s),O monk (voc-p)
21,narā,O man (voc-p),O man (voc-s),O wise man (voc-p),O wise man (voc-s)
22,brāhmaṇā,O brahmin (voc-p),O brahmin (voc-s),O lay devotee (voc-p),O lay devotee (voc-s)
23,puttā,O son (voc-p),O son (voc-s),O hermit (voc-p),O hermit (voc-s)
24,bhūpālā,O king (voc-p),O king (voc-s),O teacher (voc-p),O teacher (voc-s)
25,sahāyā,O friend (voc-p),O friend (voc-s),O doctor (voc-p),O doctor (voc-s)
26,sāvakā,O disciple (voc-p),O disciple (voc-s),O god (voc-p),O god (voc-s)
27,nayanaṃ,eye (nom-s),grass (acc-s),"virtue, precept (acc-s)",flower (nom-s)
28,locanaṃ,eye (nom-s),milk (acc-s),"alms, charity (acc-s)",flower (nom-s)
29,udakaṃ,water (nom-s),"city, town (acc-s)",object (acc-s),house (nom-s)
30,jalaṃ,water (nom-s),park (acc-s),door (acc-s),house (nom-s)
31,araññaṃ,forest (nom-s),field (acc-s),cloth (acc-s),seat (nom-s)
32,vanaṃ,forest (nom-s),goods (acc-s),fruit (acc-s),leaf (nom-s)
33,pupphaṃ,flower (nom-s),"virtue, precept (acc-s)",grass (acc-s),eye (nom-s)
34,kusumaṃ,flower (nom-s),"alms, charity (acc-s)",milk (acc-s),eye (nom-s)
35,gehaṃ,house (nom-s),object (acc-s),"city, town (acc-s)",water (nom-s)
36,gharaṃ,house (nom-s),door (acc-s),park (acc-s),water (nom-s)
37,āsanaṃ,seat (nom-s),cloth (acc-s),field (acc-s),forest (nom-s)
38,paṇṇaṃ,leaf (nom-s),fruit (acc-s),goods (acc-s),forest (nom-s)
39,tiṇaṃ,grass (acc-s),eye (nom-s),flower (nom-s),"virtue, precept (acc-s)"
40,khīraṃ,milk (acc-s),eye (nom-s),flower (nom-s),"alms, charity (acc-s)"
41,nagaraṃ,"city, town (acc-s)",water (nom-s),house (nom-s),object (acc-s)
42,uyyānaṃ,park (acc-s),water (nom-s),house (nom-s),door (acc-s)
43,khettaṃ,field (acc-s),forest (nom-s),seat (nom-s),cloth (acc-s)
44,bhaṇḍaṃ,goods (acc-s),forest (nom-s),leaf (nom-s),fruit (acc-s)
45,sīlaṃ,"virtue, precept (acc-s)",flower (nom-s),eye (nom-s),grass (acc-s)
46,dānaṃ,"alms, charity (acc-s)",flower (nom-s),eye (nom-s),milk (acc-s)
47,rūpaṃ,object (acc-s),house (nom-s),water (nom-s),"city, town (acc-s)"
48,dvāraṃ,door (acc-s),house (nom-s),water (nom-s),park (acc-s)
49,vatthaṃ,cloth (acc-s),seat (nom-s),forest (nom-s),field (acc-s)
