_id,question,answer,incorrect1,incorrect2,incorrect3
1,paceyya,(if) he would cook,(if) you would cook,(if) you would learn,(if) you would learn
2,paceyyāsi,(if) you would cook,(if) he would cook,(if) he would learn,(if) he would learn
3,paceyyāmi,(if) I would cook,(if) they would cook,(if) they would learn,(if) they would learn
4,paceyyuṃ,(if) they would cook,(if) I would cook,(if) I would learn,(if) I would learn
5,paceyyātha,(if) you would cook,(if) we would cook,(if) we would learn,(if) we would learn
6,paceyyāma,(if) we would cook,(if) you would cook,(if) you would learn,(if) you would learn
7,yadi,if,"too, also",not,"like, similar"
8,sace,if,not,"like, similar","too, also"
9,ca,and ,"like, similar ","too, also",not
10,pi,"too, also",if,and,not
11,na,not,if,"too, also",and
12,viya,"like, similar ",and ,if,not
13,sace tvaṃ dhammaṃ suṇeyyāsi,if you would hear the dhamma,hear the dhamma,if we would hear the dhamma,if we would speak the dhamma
14,yadi te gītāni gāyituṃ uggaṇheyyuṃ,if they would learn to sing the songs,learn to sing the songs,if he would learn to sing the songs,if he would learn to speak the truth
15,sace tvaṃ bījāni pahiṇeyyāsi,if you would send the seeds,send the seeds,if I would send the seeds,if I would send the cloth
16,sace tumhe padumāni ocineyyātha,if you would pick the lotuses,pick the lotuses,if I would pick the lotuses,if I would send the seeds
17,sace tvaṃ mūlaṃ gaṇheyyāsi,if you would take the money,take the money,if we would take the money,if we would give the money
18,yadi mayaṃ bhūpālena saha,if we discuss with the king,discuss with the king,if they discuss with the king,if they discuss with the merchants
19,sace tumhe rukkhe ropeyyātha,if you would plant the trees,plant the trees,if we would plant the trees,if we would learn the songs
20,sace mayaṃ sappurisā bhaveyyāma,if we become good men,become good men,if they become good men,if they become evil men
21,sace bhūpālā dhammena dīpe pāleyyuṃ,if the kings rule the islands righteously,rule the islands righteously,if the ministers rule the islands righteously,if the ministers rule the mountains righteously
22,sace kassako goṇaṃ vikkiṇeyya,if the farmer would sell the ox,sell the ox,if the farmers would sell the ox,if the farmers would sell the pigs
23,sace manusse pīḷentā asappurisā gāmaṃ āgaccheyyuṃ,if the wicked men oppressing the people come to the village,come to the village,if the wicked man oppressing the people came to the village,if the wicked man oppressing the people came to the mountain
24,yadi amaccā pāpaṃ parivajeyyuṃ,if ministers avoid evil,avoid evil,if kings avoid evil,if kings avoid the dhamma
25,sace tumhe pabbataṃ āruheyyātha,if you climb the mountain,climb the mountain,if they climb the mountain,if they climb the tree
26,sace tvaṃ pattena pānīyaṃ āneyyāsi,if you would bring drinking water in a bowl,bring drinking water in a bowl,if he would bring drinking water in a bowl,if he would bring rice in a bowl
27,kusalakammāni katvā,having done good deeds,do good deeds,having done evil deeds,having sung songs
28,sace so vejjo bhaveyya,if he is a doctor,he is a doctor,if I am a doctor,if I am a fisherman
29,yadi putto pāpaṃ kareyya,if my son does evil,do evil,if my horse does evil,if my pig does good
30,sace amacco paṇḍitaṃ ācariyaṃ āneyya,if the minister brings a wise teacher,bring a wise teacher,if the merchant brings a wise teacher,if the merchant brings a wise doctor
31,sace ahaṃ hatthena suvaṃ phusituṃ ussaheyyāmi,if I try to touch the parrot with (my) hand,to touch the parrot with (my) hand,if we try to touch the parrot with (our) hands,if we try to touch the jackal with (our) hands
32,yadi so vejjaṃ pakkosituṃ iccheyya,if he wishes to call the doctor,call the doctor,if they wish to call the doctor,if they wish to call the merchant
33,addhā (certainly) tvaṃ Buddhassa sāvako bhaveyyāsi,you would certainly become the Buddha's disciple,he becomes the Buddha's disciple,they will certainly become the Buddha's disciples ,they will certainly become the ascetic's disciples 
34,ahaṃ pi uggaṇheyyāmi,I would learn too,I learn,I sang,I am
35,kassako tāni (them) khette vapeyya,the farmer would sow them in the field,the farmers sow them in the field,the farmers sow them in the forest,the farmers bring them in the fields
36,kumārā tāni Buddhassa pūjeyyuṃ,the boys would offer them to the Buddha,the boy offers them to the Buddha,the boys offer them to the Buddha,the boys offer them to the wise men
