_id,question,answer,incorrect1,incorrect2,incorrect3
1,tāpasa {-o},hermit,goat,profit,hoe
2,ācariya {-o},teacher,monkey,bed,profit
3,vejja {-o},doctor,profit,hoe,bed
4,sīha {-o},lion,bed,goat,monkey
5,luddaka {-o},hunter,hoe,monkey,goat
6,aja {-o},goat,hermit,doctor,hunter
7,vānara {-o},monkey,teacher,lion,doctor
8,makkaṭa {-o},monkey,teacher,lion,doctor
9,lābha {-o},profit,doctor,hunter,lion
10,mañca {-o},bed,lion,hermit,teacher
11,kuddāla {-o},hoe,hunter,teacher,hermit
12,rodati,he cries,she takes,it bathes,"he gives up, abandons"
13,hasati,she laughs,it plays,it drags,it bathes
14,labhati,"he gets, receives",it bathes,"he gives up, abandons",she takes
15,pavisati,she enters,it drags,she takes,it plays
16,dadāti,he gives,"he gives up, abandons",it plays,it drags
17,ādadāti,she takes,he cries,"he gets, receives",she enters
18,kīḷati,it plays,she laughs,she enters,"he gets, receives"
19,nahāyati,it bathes,"he gets, receives",he gives,she laughs
20,ākaḍḍhati,it drags,she enters,he cries,he gives
21,pajahati,"he gives up, abandons",he gives,she laughs,he cries
22,The doctor gives a garment to the washerman.,Vejjo rajakassa sāṭakaṃ dadāti.,Vāṇijo rajakassa sāṭakaṃ dadāti.,Vejjo rajakānaṃ sāṭakaṃ dadāti.,Vāṇijo rajakānaṃ sāṭakaṃ dadāti.
23,The merchant brings a lamp for the teacher.,Vāṇijo ācariyassa dīpaṃ āharati.,Vejjo ācariyassa dīpaṃ āharati.,Vāṇijo ācariyānaṃ dīpaṃ āharati.,Vejjo ācariyānaṃ dīpaṃ āharati.
24,Lions run from the rock to the mountain.,Sīhā pāsāṇamhā pabbataṃ dhāvanti.,Sappā pāsāṇamhā pabbataṃ dhāvanti.,Sīhā pāsāṇehi pabbataṃ dhāvanti.,Sappā pāsāṇehi pabbataṃ dhāvanti.
25,Teachers get the doctrine from Buddhas.,Ācariyā Buddhehi dhammaṃ labhanti.,Ācariyā Buddhena dhammaṃ labhanti.,Rajakā Buddhehi dhammaṃ labhanti.,Rajakā Buddhena dhammaṃ labhanti.
26,The child pulls the cart to the doctor.,Dārako vejjāya sakaṭaṃ ākaḍḍhati.,Puriso vejjāya sakaṭaṃ ākaḍḍhati.,Dārako vejjānaṃ sakaṭaṃ ākaḍḍhati.,Puriso vejjānaṃ sakaṭaṃ ākaḍḍhati.
27,The man brings rice to the beggar in his hand.,Puriso hatthena yācakassa bhattaṃ āharati.,Dārako hatthena yācakassa bhattaṃ āharati.,Puriso hatthehi yācakassa bhattaṃ āharati.,Dārako hatthehi yācakassa bhattaṃ āharati.
28,The washerman digs a pit for the teacher.,Rajako ācariyāya āvāṭaṃ khaṇati.,Rajako ācariyānaṃ āvāṭaṃ khaṇati.,Yācako ācariyānaṃ āvāṭaṃ khaṇati.,Yācako ācariyāya āvāṭaṃ khaṇati.
29,The beggar gives garments to ministers.,Yācako amaccānaṃ sāṭake dadāti.,Yācako amaccāya sāṭake dadāti.,Rajako amaccāya sāṭake dadāti.,Rajako amaccānaṃ sāṭake dadāti.
30,The brahmin brings baskets for the disciples.,Brāhmaṇo sāvakānaṃ piṭake āharati.,Brāhmaṇo sāvakānaṃ piṭake āharanti.,Brāhmaṇā sāvakānaṃ piṭake āharanti.,Brāhmaṇo sāvakāne piṭake āharati.
