_id,question,answer,incorrect1,incorrect2,incorrect3
1,"bone, seed (nom-s)",aṭṭhi,"aṭṭhī, aṭṭhīni",aṭṭhinā,"aṭṭhīhi, (aṭṭhībhi)"
2,"O bone, seed",aṭṭhi,"aṭṭhī, aṭṭhīni","aṭṭhino, aṭṭhissa",aṭṭhīnaṃ
3,"bone, seed (acc-s)",aṭṭhiṃ,"aṭṭhī, aṭṭhīni","aṭṭhino, aṭṭhissa",aṭṭhīnaṃ
4,"by means of the bone, seed",aṭṭhinā,"aṭṭhīhi, (aṭṭhībhi)","aṭṭhini, aṭṭhimhi, aṭṭhismiṃ",aṭṭhīsu
5,"from the bone, seed",aṭṭhinā,"aṭṭhīhi, (aṭṭhībhi)",aṭṭhi,"aṭṭhī, aṭṭhīni"
6,"for the bone, seed","aṭṭhino, aṭṭhissa",aṭṭhīnaṃ,aṭṭhi,"aṭṭhī, aṭṭhīni"
7,"of the bone, seed","aṭṭhino, aṭṭhissa",aṭṭhīnaṃ,aṭṭhiṃ,"aṭṭhī, aṭṭhīni"
8,"on the bone, seed","aṭṭhini, aṭṭhimhi, aṭṭhismiṃ",aṭṭhīsu,aṭṭhinā,"aṭṭhīhi, (aṭṭhībhi)"
9,"bone, seeds (nom-p)","aṭṭhī, aṭṭhīni",aṭṭhi,"aṭṭhīhi, (aṭṭhībhi)",aṭṭhinā
10,"O bones, seeds","aṭṭhī, aṭṭhīni",aṭṭhi,aṭṭhīnaṃ,"aṭṭhino, aṭṭhissa"
11,"bones, seeds (acc-p)","aṭṭhī, aṭṭhīni",aṭṭhiṃ,aṭṭhīnaṃ,"aṭṭhino, aṭṭhissa"
12,"by means of the bones, seeds","aṭṭhīhi, (aṭṭhībhi)",aṭṭhinā,aṭṭhīsu,"aṭṭhini, aṭṭhimhi, aṭṭhismiṃ"
13,"from the bones, seeds","aṭṭhīhi, (aṭṭhībhi)",aṭṭhinā,"aṭṭhī, aṭṭhīni",aṭṭhi
14,"for the bones, seeds",aṭṭhīnaṃ,"aṭṭhino, aṭṭhissa","aṭṭhī, aṭṭhīni",aṭṭhi
15,"of the bones, seeds",aṭṭhīnaṃ,"aṭṭhino, aṭṭhissa","aṭṭhī, aṭṭhīni",aṭṭhiṃ
16,"on the bones, seeds",aṭṭhīsu,"aṭṭhini, aṭṭhimhi, aṭṭhismiṃ","aṭṭhīhi, (aṭṭhībhi)",aṭṭhinā
17,eye (nom-s),cakkhu,"cakkhū, cakkhūni",cakkhunā,cakkhūhi (cakkhūbhi)
18,O eye,cakkhu,"cakkhū, cakkhūni","cakkhuno, cakkhussa",cakkhūnaṃ
19,eye (acc-s),cakkhuṃ,"cakkhū, cakkhūni","cakkhuno, cakkhussa",cakkhūnaṃ
20,by means of the eye,cakkhunā,cakkhūhi (cakkhūbhi),"cakkhumhi, cakkhusmiṃ",cakkhūsu
21,from the eye,cakkhunā,cakkhūhi (cakkhūbhi),cakkhu,"cakkhū, cakkhūni"
22,for the eye,"cakkhuno, cakkhussa",cakkhūnaṃ,cakkhu,"cakkhū, cakkhūni"
23,of the eye,"cakkhuno, cakkhussa",cakkhūnaṃ,cakkhuṃ,"cakkhū, cakkhūni"
24,on the eye,"cakkhumhi, cakkhusmiṃ",cakkhūsu,cakkhunā,cakkhūhi (cakkhūbhi)
25,eyes (nom-p),"cakkhū, cakkhūni",cakkhu,cakkhūhi (cakkhūbhi),cakkhunā
26,O eyes,"cakkhū, cakkhūni",cakkhu,cakkhūnaṃ,"cakkhuno, cakkhussa"
27,eyes (acc-p),"cakkhū, cakkhūni",cakkhuṃ,cakkhūnaṃ,"cakkhuno, cakkhussa"
