_id,question,answer,incorrect1,incorrect2,incorrect3
1,dhamma {-o},"the doctrine, truth",beggar,bowl,dog
2,bhatta {-o},rice,jackal,pit,dog
3,odana {-o},cooked rice,tree,mountain,monastery
4,gāma {-o},village,"the doctrine, truth",beggar,bowl
5,suriya {-o},sun,rice,jackal,pit
6,canda {-o},moon,cooked rice,tree,mountain
7,kukkura {-o},dog,village,"the doctrine, truth",beggar
8,sunakha {-o},dog,sun,rice,jackal
9,soṇa {-o},dog,moon,cooked rice,tree
10,vihāra {-o},monastery,dog,village,"the doctrine, truth"
11,patta {-o},bowl,dog,sun,rice
12,āvāṭa {-o},pit,dog,moon,cooked rice
13,pabbata {-o},mountain,monastery,dog,village
14,yācaka {-o},beggar,bowl,dog,sun
15,sigāla {-o},jackal,pit,dog,moon
16,rukkha {-o},tree,mountain,monastery,dog
17,harati,"she carries, take away",she digs,he comes,he goes
18,āharati,she brings,she shoots,he runs,he comes
19,āruhati,"she climbs, ascends","she hits, strikes",he speaks,he runs
20,oruhati,she descends,she protects,he cooks,he speaks
21,yācati,she begs,"she worships, salutes",he ploughs,he cooks
22,khaṇati,he digs,"he carries, take away",she eats,she ploughs
23,vijjhati,he shoots,he brings,she sleeps,she eats
24,paharati,"he hits, strikes","he climbs, ascends",she sees,she sleeps
25,rakkhati,he protects,he descends,she cuts,she sees
26,vandati,"he worships, salutes",he begs,she goes,she cuts
27,Buddho dhammaṃ bhāsati.,The Buddha speaks the truth. ,The Buddhas speak the truth. ,Buddhas speak truths. ,The Buddha speaks truths.
28,Brāhmaṇo odanaṃ bhuñjati.,The brahmin eats rice. ,The brahmins eat rice. ,The brahmin carries rice . ,Brahmins carry rice.
29,Mitto suriyaṃ passati.,The friend sees the sun. ,The men see the sun. ,The men see the mountain. ,The man sees the mountain.
30,Kassakā sigāle paharanti.,The farmers hit the jackals. ,The boy hits the jackals. ,The boy hits the dogs. ,Boys hit the dog.
31,Vāṇijā bhattaṃ yācanti.,The merchants ask for rice. ,The beggar asks for rice. ,The beggar carries rice. ,The beggars carry rice.
32,Kumārā āvāṭe khaṇanti.,The boys dig pits. ,The farmer digs  pits. ,The farmer worships mountains. ,The farmers worship the mountain.
33,Manusso gāmaṃ āgacchati.,The man comes to the village. ,The friends come to the village. ,The friends come to the monastery. ,The friend goes to the monastery.
34,Kumāro manusse rakkhati.,The boy protects the people. ,The kings protect the people. ,The kings protect the village. ,The king protects the village.
35,Yācakā pabbataṃ gacchanti.,The beggars go to the mountain. ,The sons goes to the mountain. ,The sons goes to the tree. ,Sons go to the trees.
36,Bhūpālo Buddhaṃ vandati.,The king worships the Buddha. ,The boys worship the Buddha. ,The boys worship the beggar. ,The boy worships the beggars.
37,Puttā patte āharanti.,The sons bring bowls. ,The merchant brings bowls. ,The merchant brings rice. ,Merchants bring rice.
38,Putto vihāraṃ gacchati.,The son goes to the monastery. ,The men go to the monastery. ,The sons go to the village. ,The man goes to the village.
39,Sigālā pabbataṃ dhāvanti.,The jackals run to the mountain. ,The dog runs to the mountain. ,The dog runs to the tree. ,Dogs run to the tree.
40,Kukkurā gāmaṃ āgacchanti.,The dogs come to the village. ,The jackal comes to the village. ,The jackal comes to the monastery. ,Jackals come to the monastery.
41,Mittā sahāyake āharanti.,Friends bring friends. ,The friend brings friends. ,The brahmin brings kings. ,The brahmins bring the king.
42,Yācakā Sugataṃ vandanti.,The beggars worship the Buddha. ,The king worships the Buddha. ,The beggars worships the king. ,The Buddha worships the kings.
43,Bhūpālā sayanti.,The kings sleep. ,The beggar sleeps. ,The beggar begs. ,The king begs.
44,Brāhmaṇā sunakhe haranti.,The brahmins take the dogs away.,The brahmin takes the dogs away.,The friend takes the jackals away. ,Friends take the jackals away.
45,Puriso candaṃ passati.,The man sees the moon. ,The men see the moon. ,The sons see the pit. ,The  son sees the pit.
46,Vāṇijā gāmaṃ dhāvanti.,The merchants run to the village. ,The farmers run to the village. ,The merchants run to the tree. ,The farmer runs to the tree.
47,Kassako rukkhe chindati.,The farmer cuts trees. ,The merchant cuts trees. ,The farmer digs pits. ,The merchants digs the pit.
48,Yācako sigālaṃ vijjhati.,The beggar shoots the jackal. ,The men shoot the jackal. ,The beggars shoot the dog. ,The man shoots the dog.
49,Sahāyako odanaṃ bhuñjati.,The friend eats rice. ,The boys eat rice. ,The boys eat dogs. ,The dog eats the friend.
50,Naro soṇaṃ paharati.,The man hits the dog. ,The beggars hit the dog. ,The men hit the boys. ,The beggar hits the boy.
51,Kumārā pabbate āruhanti.,Boys climb mountains. ,The friend climbs mountains. ,The friend climbs trees. ,Boys climb trees.
