_id,question,answer,incorrect1,incorrect2,incorrect3
1,fire (nom-s),aggi,aggī / aggayo,agginā / aggimhā / aggismā,aggīhi (aggībhi)
2,O fire,aggi,aggī / aggayo,aggino / aggissa,aggīnaṃ
3,fire (acc-s),aggiṃ,aggī / aggayo,aggino / aggissa,aggīnaṃ
4,by means of the fire,agginā,aggīhi (aggībhi),aggimhi / aggismiṃ,aggīsu
5,from the fire,agginā / aggimhā / aggismā,aggīhi (aggībhi),aggi,aggī / aggayo
6,for the fire,aggino / aggissa,aggīnaṃ,aggi,aggī / aggayo
7,of the fire,aggino / aggissa,aggīnaṃ,aggiṃ,aggī / aggayo
8,on the fire,aggimhi / aggismiṃ,aggīsu,agginā,aggīhi (aggībhi)
9,fires (nom-p),aggī / aggayo,aggi,aggīhi (aggībhi),agginā / aggimhā / aggismā
10,O fires,aggī / aggayo,aggi,aggīnaṃ,aggino / aggissa
11,fires (acc-p),aggī / aggayo,aggiṃ,aggīnaṃ,aggino / aggissa
12,by means of the fires,aggīhi (aggībhi),agginā,aggīsu,aggimhi / aggismiṃ
13,from the fires,aggīhi (aggībhi),agginā / aggimhā / aggismā,aggī / aggayo,aggi
14,for the fires,aggīnaṃ,aggino / aggissa,aggī / aggayo,aggi
15,of the fires,aggīnaṃ,aggino / aggissa,aggī / aggayo,aggiṃ
16,on the fires,aggīsu,aggimhi / aggismiṃ,aggīhi (aggībhi),agginā
17,sage,muni / isi,vīhi,maṇi,pāṇi
18,poet,kavi,kapi,asi,kucchi
19,enemy,ari,ahi,rāsi,muṭṭhi
20,king,bhūpati,dīpi,pāṇi,maṇi
21,"husband, master",pati,ravi,kucchi,asi
22,householder,gahapati,giri,muṭṭhi,rāsi
23,"lord, leader",adhipati,maṇi,vīhi,dīpi
24,guest,atithi,asi,kapi,ravi
25,illness,vyādhi,rāsi,ahi,giri
26,ocean,udadhi,pāṇi,dīpi,vīhi
27,(hidden) treasure,nidhi,kucchi,ravi,kapi
28,paddy,vīhi,muṭṭhi,giri,ahi
29,monkey,kapi,muni / isi,gahapati,vyādhi
30,serpent,ahi,kavi,adhipati,udadhi
31,leopard,dīpi,ari,atithi,nidhi
32,sun,ravi,bhūpati,vyādhi,gahapati
33,mountain,giri,pati,udadhi,adhipati
34,gem,maṇi,gahapati,nidhi,atithi
35,sword,asi,adhipati,muni / isi,ari
