_id,question,answer,incorrect1,incorrect2,incorrect3
1,pacita,cooked,killed,broken,seated
2,bhāsita,spoken,led,seated,crossed
3,yācita,begged,cut,crossed,broken
4,desita,preached,broken,killed,led
5,pūjita,honoured,seated,led,cut
6,gata,gone,crossed,cut,killed
7,hata,killed,cooked,preached,honoured
8,nīta,led,spoken,honoured,gone
9,chinna,cut,begged,gone,preached
10,bhinna,broken,preached,cooked,spoken
11,nisinna,seated,honoured,spoken,begged
12,tiṇṇa,crossed,gone,begged,cooked
13,ploughed,kasita,dhota,gahita,haṭa
14,ploughed,kaṭṭha,dhovita,kīta,kuddha
15,questioned,puṭṭha,pahīna,patta,dinna
16,questioned,pucchita,vivaṭa,kata,pasanna
17,cooked,pakka,pīta,ṭhita,diṭṭha
18,cooked,pacita,cuta,haṭa,mutta
19,bitten,daṭṭha,hata,kuddha,gahita
20,touched,phuṭṭha,nikkhanta,dinna,kīta
21,entered,paviṭṭha,ñāta,pasanna,patta
22,touched,āmaṭṭha,suta,diṭṭha,kata
23,touched,āmasita,mita,mutta,ṭhita
24,received,labhita,gahita,dhota,cuta
25,received,laddha,kīta,dhovita,hata
26,started,āraddha,patta,pahīna,nikkhanta
27,became,bhūta,kata,vivaṭa,ñāta
28,eaten,bhutta,ṭhita,pīta,suta
29,eaten,bhuñjita,haṭa,cuta,mita
30,sowed,vutta,kuddha,hata,dhota
31,sowed,vuttha,dinna,nikkhanta,dhovita
32,sprinkled,āsitta,pasanna,ñāta,pahīna
33,thrown,khitta,diṭṭha,suta,vivaṭa
34,washed,dhota,mutta,mita,pīta
35,washed,dhovita,kasita,āmasita,bhutta
36,rejected,pahīna,kaṭṭha,labhita,bhuñjita
37,opened,vivaṭa,puṭṭha,laddha,vutta
38,drunk,pīta,pucchita,āraddha,vuttha
39,departed,cuta,pakka,bhūta,āsitta
40,killed,hata,pacita,bhutta,khitta
41,renounced,nikkhanta,daṭṭha,bhuñjita,āmasita
42,known,ñāta,phuṭṭha,vutta,labhita
43,heard,suta,paviṭṭha,vuttha,laddha
44,measured,mita,āmaṭṭha,āsitta,āraddha
45,taken,gahita,āmasita,khitta,bhūta
46,bought,kīta,labhita,kasita,pacita
47,attained,patta,laddha,kaṭṭha,daṭṭha
48,done,kata,āraddha,puṭṭha,phuṭṭha
49,stood,ṭhita,bhūta,pucchita,paviṭṭha
50,carried,haṭa,bhutta,pakka,āmaṭṭha
51,angered,kuddha,bhuñjita,pacita,kasita
52,given,dinna,vutta,daṭṭha,kaṭṭha
53,pleased,pasanna,vuttha,phuṭṭha,puṭṭha
54,seen,diṭṭha,āsitta,paviṭṭha,pucchita
55,released,mutta,khitta,āmaṭṭha,pakka
