_id,question,answer,incorrect1,incorrect2,incorrect3
1,ratha {-o},"vehicle, chariot",cart,hand,foot
2,sakaṭa {-o},cart,hand,foot,path
3,hattha {-o},hand,foot,path,"island, lamp"
4,pāda {-o},foot,path,"island, lamp",disciple
5,magga {-o},path,"island, lamp",disciple,"recluse, monk"
6,dīpa {-o},"island, lamp",disciple,"recluse, monk",heaven
7,sāvaka {-o},disciple,"recluse, monk",heaven,horse
8,samaṇa {-o},"recluse, monk",heaven,horse,deer
9,sagga {-o},heaven,horse,deer,arrow
10,assa {-o},horse,deer,arrow,"rock, stone"
11,miga {-o},deer,arrow,"rock, stone",saw
12,sara {-o},arrow,"rock, stone",saw,sword
13,pāsāṇa {-o},"rock, stone",saw,sword,thief
14,kakaca {-o},saw,sword,thief,wise man
15,khagga {-o},sword,thief,wise man,"vehicle, chariot"
16,cora {-o},thief,wise man,"vehicle, chariot",cart
17,paṇḍita {-o},wise man,"vehicle, chariot",cart,hand
18,Tathāgato sāvakehi saddhiṃ vihāraṃ gacchati.,The Thus-Gone goes to the monastery with his disciples. ,The Well-Gone goes to the monastery with his disciples. ,The Buddha goes to the mountains with his disciples.,The Thus-Gone goes to the mountains with his disciples.
19,Kassako puttena saha dīpaṃ dhāvati.,The farmer runs to the island with his son. ,The man runs to the island with his son. ,The farmer runs to the island with his sons. ,The men run to the island with their sons. 
20,Puriso sarena sigālaṃ vijjhati.,The man shoots the jackal with an arrow. ,The man shoots the dog with an arrow. ,The men shoot the jackal with an arrow. ,The men shoot the dogs with an arrow. 
21,Puttā mātulena saha pabbataṃ āruhanti.,The sons climb the mountain with the uncle. ,The uncles climb the mountain with the son. ,The son climbs the mountain with uncles. ,The man climbs the mountain with uncles. 
22,Brāhmaṇā pādehi kukkure paharanti.,The brahmins kick the dogs. ,The brahmins hit the dogs with rocks. ,The brahmin kicks the dog. ,The brahmins hit the dog with rocks. 
23,Vāṇijo puttehi saddhiṃ rathena gāmaṃ āgacchati.,The merchant comes to the village with his sons by a chariot.,The merchants comes to the villages with their sons by chariots.,The merchant comes to the village with his son by a chariot.,The man comes to the village with his son by a chariot.
24,Bhūpālā hatthehi patte āharanti.,The kings bring the bowls with hands. ,The king brings the bowls with hands. ,The king brings the bowl with hands. ,The merchant bring the bowls by hands. 
25,Kassako maggena assaṃ harati.,The farmer takes away the horse along the road. ,The farmers take away the horse along the road. ,The farmers take away the horses along the road. ,The farmer takes away the horses along the road. 
26,Coro āvāṭaṃ oruhati.,The thief descends to the pit. ,The man descends to the pit. ,The recluse descends to the pit. ,The wise man descends to the pit. 
27,Kumārā paṇḍitehi saha samaṇe passanti.,"The boys, with the wise men, see the monks. ","The boy, with the wise men, sees the monks. ","The boys, with the wise man, see the monks. ","The boy, with the wise men, sees the monk. "
28,Paṇḍito bhūpālena saha Sugataṃ vandati.,"The wise man, with the king, worships the Buddha (Well-Gone).","The wise men, with the king, worship the Buddha (Well-Gone). ","The wise man, with the king, worships the Buddha (Thus-Gone). ","The wise men, with the king, worship the Buddha (Thus-Gone). "
29,Kassakā sahāyena saddhiṃ odanaṃ bhuñjanti.,The farmers eat rice with a friend. ,The farmers eat rice with a horse. ,The farmer eats rice with a friend. ,The farmer eats a horse with a friend. 
30,Mātulo pāsāṇena migaṃ paharati.,The uncle hits a deer with a stone. ,The uncles hit deer with stones. ,The uncle hits a deer with stones. ,The uncles hits a deer with an arrow. 
31,Puttā pādehi āvāṭe khaṇanti.,The sons dig pits with their feet. ,The dogs dig pits with their feet. ,The sons dig pits with their hands. ,The son digs a pit with his hands. 
32,Kassako puttena saha suriyaṃ vandati.,"The farmer, with his son, worships the sun. ","The son, with a farmer, worships the sun. ","The farmer, with his sons, worships the sun. ","The sons, with a farmer, worships the sun. "
33,Brāhmaṇo soṇehi saddhiṃ rukkhe rakkhati.,The brahmin protects the trees with dogs. ,The brahmin protects the trees with stones. ,The brahmin protects the trees with swords. ,The brahmin protects the trees with arrows. 
34,Sugato sāvakehi saha vihāraṃ gacchati.,The Well-Gone goes to the monastery with his disciples. ,The Thus-Gone goes to the monastery with his disciples. ,The Well-Gone goes to the monastery with his disciple. ,The Thus-Gone goes to the monastery with his disciple. 
35,Coro pattena bhattaṃ āharati.,The thief brings rice in a bowl. ,The merchant brings rice in a bowl. ,The beggar brings rice in a bowl. ,The man brings rice in a bowl. 
36,Kumārā saggaṃ gacchanti.,Boys go to heaven. ,Men go to heaven. ,Merchants go to heaven. ,Sons go to heaven. 
37,Paṇḍitā assehi saddhiṃ gāmaṃ dhāvanti.,Wise men run to the village with horses. ,Wise men run to the village with deer. ,Merchants run to the village with horses. ,Farmers run to the village with horses. 
38,Yācako khaggena naraṃ paharati.,The beggar hits the man with a sword. ,The beggars hit the man with a sword. ,The farmers hit the man with a sword. ,The brahmin hits the merchant with a sword. 
39,Bhūpālo sakaṭena dīpe āharati.,The king brings lamps by a cart. ,The king brings rice by a cart. ,The king brings bowls by a cart. ,The kings brings dogs by a cart. 
40,Sigālā maggena dhāvanti.,Jackals run through the road. ,Dogs run through the road. ,Horses run through the road. ,Boys run through the road. 
41,Assā migehi saddhiṃ pabbataṃ dhāvanti.,The horses run to the mountain with deer. ,The jackals run to the mountain with deer. ,The dogs run to the mountain with deer. ,The horses run to the mountain with jackals. 
42,Vāṇijo paṇḍitena saha manusse rakkhati.,"The merchant, with a wise man, protects the people. ","The farmer, with a wise man, protects the people. ","The thief, with a wise man, protects the people. ","The merchant, with a wise man, protects the jackals. "
43,The disciple sees the Buddha with his friend.,Sāvako mittena saha Buddhaṃ passati. ,Sāvako mittehi saha Buddhaṃ passati. ,Sāvako mittena saha Buddhaṃ passanti. ,Sāvako mittena saha Buddho passati. 
44,Disciples go to the monastery with the Buddha (Thus-Gone).,Sāvakā Tathāgatena saha viharaṃ gacchanti. ,Sāvako Tathāgatena saha viharaṃ gacchanti.,Sāvakā Tathāgatehi saha viharaṃ gacchanti.,Sāvakā Tathāgatena saha viharaṃ gacchati.
45,The horse runs to the mountain with the thieves.,Asso corehi saddhiṃ pabbataṃ dhāvati. ,Assā corehi saddhiṃ pabbataṃ dhāvati.,Asso corena saddhiṃ pabbataṃ dhāvati.,Asso corehi saddhiṃ pabbataṃ dhāvanti.
46,The boy hits the lamp with a sword.,Kumāro khaggena dīpaṃ paharati. ,Kumāro khaggena dīpaṃ paharanti. ,Kumāro khaggehi dīpaṃ paharati. ,Kumāro khaggena dīpo paharati. 
47,Farmers shoot deer with arrows.,Kassakā sarehi mige vijjhanti. ,Kassako sarehi mige vijjhati. ,Kassakā sarena mige vijjhanti. ,Kassakā sarehi migo vijjhanti. 
48,Merchants dig pits with their hands.,Vāṇijā hatthehi āvāṭe khaṇanti. ,Vāṇijo hatthehi āvāṭe khaṇati. ,Vāṇijā hatthena āvāṭe khaṇanti. ,Vāṇijā hatthehi āvāṭo khaṇanti. 
49,The sons go to the monastery by chariot with their uncle.,Puttā mātulena saha rathena vihāraṃ gacchanti. ,Puttā mātulehi saha rathena vihāraṃ gacchanti. ,Putto mātulehi saha rathena vihāraṃ gacchanti. ,Puttā mātulena saha rathena vihāraṃ gacchati. 
50,The king cooks rice with his friend.,Bhūpālo mittena saha bhattaṃ pacati. ,Bhūpālo mittehi saha bhattaṃ pacati. ,Bhūpālo mittena saha bhattaṃ pacanti. ,Bhūpālo mittehi saha bhattaṃ pacanti. 
