_id,question,answer,incorrect1,incorrect2,incorrect3
1,āhiṇḍati,she wanders,he lives,it crosses (water),it comes out (of water)
2,carati,he walks,she stands,it comes out (of water),"he becomes glad, is pleased with"
3,nisīdati,she sits,"it flies, jumps up","he becomes glad, is pleased with",it crosses (water)
4,sannipatati,he assembles,it crosses (water),he lives,she stands
5,viharati,it dwells,it comes out (of water),she stands,"it flies, jumps up"
6,vasati,she lives,"he becomes glad, is pleased with","it flies, jumps up",he lives
7,jīvati,he lives,she wanders,he assembles,it dwells
8,tiṭṭhati,she stands,he walks,it dwells,she lives
9,uppatati,"it flies, jumps up",she sits,she lives,he assembles
10,tarati,it crosses (water),he assembles,she wanders,he walks
11,uttarati,it comes out (of water),it dwells,he walks,she sits
12,pasīdati,"he becomes glad, is pleased with",she lives,she sits,she wanders
13,Buddhassa sāvakā dīpasmiṃ sannipatanti.,Disciples of the Buddha assemble on the island.,Disciples of the Buddha assemble in the monastery.,Disciples of the Buddha come from the island.,Disciples of the Buddha come from the monastery.
14,Luddako amaccānaṃ sāṭake dhovati.,The hunter washes the garments of the ministers.,The washerman washes the garments of the ministers.,The hunter washes the minister's garment.,The washerman washes the minister's garment.
15,Kākā ākāsamhi uppatanti.,Crows fly in the sky.,Birds fly in the sky.,Crows fly to the tree.,Birds fly to the tree.
16,Asappuriso nāvikena saha samuddamhā uttarati.,The wicked man comes out of the sea together with the sailor.,The virtuous man comes out of the sea together with the sailor.,The wicked man comes out of the sea together with the fisherman.,The virtuous man comes out of the sea together with the fisherman.
17,Bhūpālā Buddhassa sāvakesu pasīdanti.,Kings are pleased with the Buddha's disciples.,Deities are pleased with the Buddha's disciples.,Ministers are pleased with the Buddha's disciples.,Messengers are pleased with the Buddha's disciples.
18,Sakuṇā nāvikehi saha samuddaṃ taranti.,Birds cross the sea together with sailors.,Merchants cross the sea together with sailors.,Birds cross the sea together with messengers.,Merchants cross the sea together with messengers.
19,Vejjo sappamhā kukkuraṃ rakkhati.,The doctor protects the dog from the serpent.,The good man protects the dog from the serpent.,The doctor protects the parrot from the serpent.,The good man protects the parrot from the serpent.
20,Sakuṇā pabbatasmiṃ rukkehi uppatanti.,Birds fly from trees in the mountain.,Crows fly from trees in the mountain.,Birds perch in trees in the mountain.,Crows perch in trees in the mountain.
21,Vānaro dhīvarassa piṭakasmā macchaṃ ākaḍḍhati.,The monkey pulls a fish from the fisherman's basket.,The pig pulls a fish from the fisherman's basket.,The monkey pulls a fish from the merchant's basket.,The pig pulls a fish from the merchant's basket.
22,Suriyassa āloko lokamhi asappurisesu patati.,The light of the sun falls on the wicked men in the world.,The light of the sun falls on the men in the world.,The light of the sun falls on the virtuous men in the world.,The light of the sun falls on the children in the world.
23,Kākā ākāsena gacchanti.,Crows go through the sky.,Deities go through the sky.,Birds go through the sky.,Parrots go through the sky.
24,Sigālā kukkurena saddhiṃ maggasmiṃ kīḷanti.,Jackals play with the dog on the road.,Children play with the dog on the road.,Jackals play with the dog on the mountain.,Children play with the dog on the mountain.
25,Sappuriso rukkhamhā makkaṭaṃ ākaḍḍhati.,The virtuous man drags a monkey from the tree.,The wicked man drags a monkey from the tree.,The virtuous man drags a parrot from the tree.,The wicked man drags a parrot from the tree.
26,Mātulassa dūto assasmā oruhati.,The uncle's messenger gets down from the horse.,The king's messenger gets down from the horse.,The uncle's messengers get down from the horses.,The king's messengers get down from the horses.
27,nāviko,sailor (nom-s),crow (nom-s),wicked man (nom-s),messenger (nom-s)
28,ākāso,sky (nom-s),house (nom-s),body (nom-s),"ox, bull (nom-s)"
29,samuddo,"ocean, sea (nom-s)",virtuous man (nom-s),messenger (nom-s),wicked man (nom-s)
30,devo,"deity, god (nom-s)",wicked man (nom-s),"ox, bull (nom-s)",body (nom-s)
31,suro,"deity, god (nom-s)",body (nom-s),crow (nom-s),house (nom-s)
32,loko,world (nom-s),messenger (nom-s),house (nom-s),"ox, bull (nom-s)"
33,āloko,light (nom-s),"ox, bull (nom-s)",virtuous man (nom-s),crow (nom-s)
34,sakuṇo,bird (nom-s),sailor (nom-s),"deity, god (nom-s)",light (nom-s)
35,kāko,crow (nom-s),sky (nom-s),world (nom-s),bird (nom-s)
36,nivāso,house (nom-s),"ocean, sea (nom-s)",light (nom-s),"deity, god (nom-s)"
37,sappuriso,virtuous man (nom-s),"deity, god (nom-s)",bird (nom-s),world (nom-s)
38,asappuriso,wicked man (nom-s),"deity, god (nom-s)",sailor (nom-s),"ocean, sea (nom-s)"
39,kāyo,body (nom-s),world (nom-s),sky (nom-s),"deity, god (nom-s)"
40,dūto,messenger (nom-s),light (nom-s),"ocean, sea (nom-s)",sailor (nom-s)
41,goṇo,"ox, bull (nom-s)",bird (nom-s),"deity, god (nom-s)",sky (nom-s)
42,nāvike,at the sailor (loc-s),in the crow (loc-s),at the wicked man (loc-s),at the messenger (loc-s)
43,ākāse,in the sky (loc-s),in the house (loc-s),on the body (loc-s),"at the ox, bull (loc-s)"
44,samudde,"in the ocean, sea (loc-s)",at the virtuous man (loc-s),at the messenger (loc-s),at the wicked man (loc-s)
45,deve,"at the deity, god (loc-s)",at the wicked man (loc-s),"at the ox, bull (loc-s)",on the body (loc-s)
