_id,question,answer,incorrect1,incorrect2,incorrect3
1,virtuous... (nom-s),"guṇavā, guṇavanto","guṇavanto, guṇavantā","guṇavatā, guṇavantamhā, guṇavantasmā",guṇavantehi (guṇavantebhi)
2,O virtuous... (voc-s),"guṇavā, guṇava, guṇavanta","guṇavanto, guṇavantā","guṇavato, guṇavantassa","guṇavataṃ, guṇavantānaṃ"
3,virtuous... (acc-s) ,guṇavantaṃ,"guṇavanto, guṇavante","guṇavato, guṇavantassa","guṇavataṃ, guṇavantānaṃ"
4,by means of the virtuous... (ins-s),"guṇavatā, guṇavantena",guṇavantehi (guṇavantebhi),"guṇavati, guṇavante, guṇavantamhi, guṇavantasmiṃ",guṇavantesu
5,from the virtuous... (abl-s),"guṇavatā, guṇavantamhā, guṇavantasmā",guṇavantehi (guṇavantebhi),"guṇavā, guṇavanto","guṇavanto, guṇavantā"
6,for the virtuous... (dat-s),"guṇavato, guṇavantassa","guṇavataṃ, guṇavantānaṃ","guṇavā, guṇava, guṇavanta","guṇavanto, guṇavantā"
7,of the virtuous... (gen-s),"guṇavato, guṇavantassa","guṇavataṃ, guṇavantānaṃ",guṇavantaṃ,"guṇavanto, guṇavante"
8,on the virtuous... (loc-s),"guṇavati, guṇavante, guṇavantamhi, guṇavantasmiṃ",guṇavantesu,"guṇavatā, guṇavantena",guṇavantehi (guṇavantebhi)
9,virtuous... (nom-p),"guṇavanto, guṇavantā","guṇavā, guṇavanto",guṇavantehi (guṇavantebhi),"guṇavatā, guṇavantamhā, guṇavantasmā"
10,O virtuous... (voc-p),"guṇavanto, guṇavantā","guṇavā, guṇava, guṇavanta","guṇavataṃ, guṇavantānaṃ","guṇavato, guṇavantassa"
11,virtuous... (acc-p) ,"guṇavanto, guṇavante",guṇavantaṃ,"guṇavataṃ, guṇavantānaṃ","guṇavato, guṇavantassa"
12,by means of the virtuous... (ins-p),guṇavantehi (guṇavantebhi),"guṇavatā, guṇavantena",guṇavantesu,"guṇavati, guṇavante, guṇavantamhi, guṇavantasmiṃ"
13,from the virtuous... (abl-p),guṇavantehi (guṇavantebhi),"guṇavatā, guṇavantamhā, guṇavantasmā","guṇavanto, guṇavantā","guṇavā, guṇavanto"
14,for the virtuous... (dat-p),"guṇavataṃ, guṇavantānaṃ","guṇavato, guṇavantassa","guṇavanto, guṇavantā","guṇavā, guṇava, guṇavanta"
15,of the virtuous... (gen-p),"guṇavataṃ, guṇavantānaṃ","guṇavato, guṇavantassa","guṇavanto, guṇavante",guṇavantaṃ
16,on the virtuous... (loc-p),guṇavantesu,"guṇavati, guṇavante, guṇavantamhi, guṇavantasmiṃ",guṇavantehi (guṇavantebhi),"guṇavatā, guṇavantena"
17,nourishing... (nom-s),ojavantaṃ,"ojavanto, ojavantā","ojavatā, ojavantamhā, ojavantasmā",ojavantehi (ojavantebhi)
18,O nourishing... (voc-s),"ojavā, ojava, ojavanta","ojavanto, ojavantā","ojavato, ojavantassa","ojavataṃ, ojavantānaṃ"
19,nourishing... (acc-s) ,ojavantaṃ,"ojavanto, ojavante","ojavato, ojavantassa","ojavataṃ, ojavantānaṃ"
20,by means of the nourishing... (ins-s),"ojavatā, ojavantena",ojavantehi (ojavantebhi),"ojavati, ojavante, ojavantamhi, ojavantasmiṃ",ojavantesu
21,from the nourishing... (abl-s),"ojavatā, ojavantamhā, ojavantasmā",ojavantehi (ojavantebhi),"ojavā, ojavanto","ojavanto, ojavantā"
22,for the nourishing... (dat-s),"ojavato, ojavantassa","ojavataṃ, ojavantānaṃ","ojavā, ojava, ojavanta","ojavanto, ojavantā"
23,of the nourishing... (gen-s),"ojavato, ojavantassa","ojavataṃ, ojavantānaṃ",ojavantaṃ,"ojavanto, ojavante"
24,on the nourishing... (loc-s),"ojavati, ojavante, ojavantamhi, ojavantasmiṃ",ojavantesu,"ojavatā, ojavantena",ojavantehi (ojavantebhi)
