_id,question,answer,incorrect1,incorrect2,incorrect3
1,Tathāgato sāvakehi saddhiṃ vihāraṃ gacchati.,The Thus-Gone goes to the monastery with his disciples. ,The Well-Gone goes to the monastery with his disciples. ,The Buddha goes to the mountains with his disciples.,The Thus-Gone goes to the mountains with his disciples.
2,Kassako puttena saha dīpaṃ dhāvati.,The farmer runs to the island with his son. ,The man runs to the island with his son. ,The farmer runs to the island with his sons. ,The men run to the island with their sons. 
3,Puriso sarena sigālaṃ vijjhati.,The man shoots the jackal with an arrow. ,The man shoots the dog with an arrow. ,The men shoot the jackal with an arrow. ,The men shoot the dogs with an arrow. 
4,Puttā mātulena saha pabbataṃ āruhanti.,The sons climb the mountain with the uncle. ,The uncles climb the mountain with the son. ,The son climbs the mountain with uncles. ,The man climbs the mountain with uncles. 
5,Brāhmaṇā pādehi kukkure paharanti.,The brahmins kick the dogs. ,The brahmins hit the dogs with rocks. ,The brahmin kicks the dog. ,The brahmins hit the dog with rocks. 
6,Vāṇijo puttehi saddhiṃ rathena gāmaṃ āgacchati.,The merchant comes to the village with his sons by a chariot.,The merchants comes to the villages with their sons by chariots.,The merchant comes to the village with his son by a chariot.,The man comes to the village with his son by a chariot.
7,Bhūpālā hatthehi patte āharanti.,The kings bring the bowls with hands. ,The king brings the bowls with hands. ,The king brings the bowl with hands. ,The merchant bring the bowls by hands. 
8,Kassako maggena assaṃ harati.,The farmer takes away the horse along the road. ,The farmers take away the horse along the road. ,The farmers take away the horses along the road. ,The farmer takes away the horses along the road. 
9,Coro āvāṭaṃ oruhati.,The thief descends to the pit. ,The man descends to the pit. ,The recluse descends to the pit. ,The wise man descends to the pit. 
10,Kumārā paṇḍitehi saha samaṇe passanti.,"The boys, with the wise men, see the monks. ","The boy, with the wise men, sees the monks. ","The boys, with the wise man, see the monks. ","The boy, with the wise men, sees the monk. "
11,Paṇḍito bhūpālena saha Sugataṃ vandati.,"The wise man, with the king, worships the Buddha (Well-Gone).","The wise men, with the king, worship the Buddha (Well-Gone). ","The wise man, with the king, worships the Buddha (Thus-Gone). ","The wise men, with the king, worship the Buddha (Thus-Gone). "
12,Kassakā sahāyena saddhiṃ odanaṃ bhuñjanti.,The farmers eat rice with a friend. ,The farmers eat rice with a horse. ,The farmer eats rice with a friend. ,The farmer eats a horse with a friend. 
13,Mātulo pāsāṇena migaṃ paharati.,The uncle hits a deer with a stone. ,The uncles hit deer with stones. ,The uncle hits a deer with stones. ,The uncles hits a deer with an arrow. 
14,Puttā pādehi āvāṭe khaṇanti.,The sons dig pits with their feet. ,The dogs dig pits with their feet. ,The sons dig pits with their hands. ,The son digs a pit with his hands. 
15,Kassako puttena saha suriyaṃ vandati.,"The farmer, with his son, worships the sun. ","The son, with a farmer, worships the sun. ","The farmer, with his sons, worships the sun. ","The sons, with a farmer, worships the sun. "
