_id,question,answer,incorrect1,incorrect2,incorrect3
1,bhāsati,he speaks,he runs,he comes,he goes
2,pacati,he cooks,he speaks,he runs,he comes
3,kasati,he ploughs,he cooks,he speaks,he runs
4,bhuñjati,he eats,he ploughs,he cooks,he speaks
5,sayati,he sleeps,he eats,he ploughs,he cooks
6,passati,she sees,she sleeps,she eats,she ploughs
7,chindati,she cuts,she sees,she sleeps,she eats
8,gacchati,she goes,she cuts,she sees,she sleeps
9,āgacchati,she comes,she goes,she cuts,she sees
10,dhāvati,she runs,she comes,she goes,she cuts
11,harati,"she carries, take away",she digs,he comes,he goes
12,āharati,she brings,she shoots,he runs,he comes
13,āruhati,"she climbs, ascends","she hits, strikes",he speaks,he runs
14,oruhati,she descends,she protects,he cooks,he speaks
15,yācati,she begs,"she worships, salutes",he ploughs,he cooks
16,khaṇati,he digs,"he carries, take away",she eats,she ploughs
17,vijjhati,he shoots,he brings,she sleeps,she eats
18,paharati,"he hits, strikes","he climbs, ascends",she sees,she sleeps
19,rakkhati,he protects,he descends,she cuts,she sees
20,vandati,"he worships, salutes",he begs,she goes,she cuts
21,patati,she falls,"he calls, summons","she leaves, sets out",it descends
22,dhovati,he washes,she eats,"he calls, summons","she leaves, sets out"
23,icchati,"she wishes, desires",he kills,she eats,"he calls, summons"
24,ḍasati,he bites,it descends,he kills,she eats
25,pucchati,she questions,"she leaves, sets out",it descends,he kills
26,pakkosati,"he calls, summons",she falls,she questions,he bites
27,khādati,she eats,he washes,she falls,she questions
28,hanati,he kills,"she wishes, desires",he washes,she falls
29,otarati,it descends,he bites,"she wishes, desires",he washes
30,nikkhamati,"she leaves, sets out",she questions,he bites,"she wishes, desires"
31,rodati,he cries,she takes,it bathes,"he gives up, abandons"
32,hasati,she laughs,it plays,it drags,it bathes
33,labhati,"he gets, receives",it bathes,"he gives up, abandons",she takes
34,pavisati,she enters,it drags,she takes,it plays
35,dadāti,he gives,"he gives up, abandons",it plays,it drags
36,ādadāti,she takes,he cries,"he gets, receives",she enters
37,kīḷati,it plays,she laughs,she enters,"he gets, receives"
38,nahāyati,it bathes,"he gets, receives",he gives,she laughs
39,ākaḍḍhati,it drags,she enters,he cries,he gives
40,pajahati,"he gives up, abandons",he gives,she laughs,he cries
41,āhiṇḍati,she wanders,he lives,it crosses (water),it comes out (of water)
42,carati,he walks,she stands,it comes out (of water),"he becomes glad, is pleased with"
43,nisīdati,she sits,"it flies, jumps up","he becomes glad, is pleased with",it crosses (water)
44,sannipatati,he assembles,it crosses (water),he lives,she stands
45,viharati,it dwells,it comes out (of water),she stands,"it flies, jumps up"
46,vasati,she lives,"he becomes glad, is pleased with","it flies, jumps up",he lives
47,jīvati,he lives,she wanders,he assembles,it dwells
48,tiṭṭhati,she stands,he walks,it dwells,she lives
49,uppatati,"it flies, jumps up",she sits,she lives,he assembles
50,tarati,it crosses (water),he assembles,she wanders,he walks
51,uttarati,it comes out (of water),it dwells,he walks,she sits
52,pasīdati,"he becomes glad, is pleased with",she lives,she sits,she wanders
53,vivarati,she opens,she collects,it breaks,he advises
54,naccati,he dances,it sprinkles,she drinks,it breaks
55,nikkhipati,it puts,he scolds,it drinks,she drinks
56,uṭṭhahati,she gets up,it breaks,she collects,he scolds
57,phusati,it touches,she drinks,it sprinkles,she collects
58,anusāsati,he instructs,it drinks,he scolds,it sprinkles
59,ovadati,he advises,she opens,it touches,it drinks
60,saṃharati,she collects,he dances,he instructs,it touches
61,āsiñcati,it sprinkles,it puts,he advises,he instructs
62,akkosati,he scolds,she gets up,she opens,it puts
63,bhindati,it breaks,it touches,he dances,she gets up
64,pibati,she drinks,he instructs,it puts,she opens
65,pivati,it drinks,he advises,she gets up,he dances
66,pariyesati,"he searches, seeks",she fears,she throws,he hopes
67,ārabhati,she begins,"it departs, dies",it sows,she sews
68,ussahati,it tries,he is born,he hopes,she throws
69,upasaṅkamati,he approaches,she throws,she sews,it sows
70,adhigacchati,"she understands, attains",it sows,she fears,he is born
71,gāyati,it sings,he hopes,"it departs, dies",she fears
72,āmasati,"he touches, strokes",she sews,he is born,"it departs, dies"
73,bhāyati,she fears,"he searches, seeks","she understands, attains",it sings
74,cavati,"it departs, dies",she begins,it sings,"he touches, strokes"
75,uppajjati,he is born,it tries,"he touches, strokes","she understands, attains"
76,khipati,she throws,he approaches,"he searches, seeks",it tries
77,vapati,it sows,"she understands, attains",she begins,he approaches
78,ākaṅkhati,he hopes,it sings,it tries,"he searches, seeks"
79,sibbati,she sews,"he touches, strokes",he approaches,she begins
80,deseti,he preaches,he looks at,he keeps,he avoids
81,cinteti,he thinks,he kindles,he fells,he illuminates
82,pūjeti,"he honours, offers",he covers,"he rules, governs",he gives
83,pūreti,he fills,he kills,he avoids,he keeps
84,pīḷeti,he oppresses,"he leads, takes away",he illuminates,he fells
